Application No,Date Of Filing Application,Date Of Publication,Title,Name of Applicant,Address,Name of inventor,Abstract,No of Pages
2081/MUM/2009 A ,10/09/2009,01/01/2010,A VARIABLE FRICTION DAMPER FOR CONTROLLING VIBRATIONS AND OSCILLATIONS OF HYDRAULIC GATES , 1)GODBOLE PRASHANT PRABHAKAR  ,"2/B, BUTY PLOTS, DHARAMPETH, NAGPUR 440 010, MAHARASHTRA, INDIA. ", 1)GODBOLE PRASHANT PRABHAKAR ,"This invention relates to a device for controlling flow induced vibrations & oscillations of different types of hydraulic gates like vertical lift gates, radial gates & tilting type gates used on spillways of dams, canals & barrages. The magnitude of disturbing forces caused by eddies or turbulent flow near the gate depends on extent of opening of gate. Thus, the magnitude of damping force or moment needed to control the vibrations also changes during gate operation. The friction dampers being employed presently provide a constant frictional damping force. The present invention overcomes this drawback by providing variable frictional damping force (in case of linear motion) or variable frictional damping moment (in case of angular motion), as the gate moves from one position to another as the gate travels from fully pen to closed position & vice versa. The device consists of 3 parts - i) a friction track of variable thickness which is fixed to gate, ii) a hinged joint arrangement attached to the gate supporting structure and iii) a friction shoe assembly, which is connected to hinged joint arrangement at one end, and impresses upon the friction track at other end. The friction shoe assembly consists of a self aligning type friction shoe held in a housing with a set of disc springs with a set pre-compression. An inward movement of shoe in the housing causes further compression of the disc springs, resulting in increase in reactive force exerted by springs on the shoe and vice - versa. During operation, when the gate starts to move from open to closed position or vice-versa, the friction shoe assembly swivels or rotates about the pin of hinged joint arrangement, and the self aligning friction shoe presses tightly against the friction track, developing initial frictional resistance. As the gate moves further, a gradually increasing thickness of friction track causes inward movement of shoe in the housing, resulting in development of greater contact force between shoe and track and hence greater frictional resistance. On the other hand, a gradually decreasing thickness of friction track during gate movement results in reduction in frictional resistance developed by the damper. Depending upon the pattern of variation in thickness of friction track, the damper thus develops progressively increasing or reducing frictional resistance or damping force, during movement of gate from one position to another during course of its operation. The novelty of the invention thus lies in typical arrangement comprising of a straight or curved friction track of variable thickness fitted to gate and a self aligning type friction shoe fitted to gate supporting structure and tightly adhering to the friction track, to provide variable frictional damping resistance of various patterns, as the gate moves from one position to another during its travel from fully open to closed position & vice versa. Second novelty of invention lies in use of hinged joint arrangement, which causes swiveling action of friction shoe assembly as soon as the gate starts its movement, and ensures development of initial fixed frictional resistance. Third novelty of the invention lies in use of disc springs and knee type joint between friction shoe & shoe support plate, which enables friction shoe to tightly press on to friction track and provide necessary frictional resistance, while continuously aligning its contact surface with surface of friction track by swiveling in the knee joint, when there is relative motion between the two. ",28
1033/DELNP/2003 A ,03/07/2003,01/01/2010,"""USE OF 2-AMINO-1(4-HYDROXY-2-METHANESULPHONAMIDOPHENYL) ETHANOL FOR TREATING URINARY INCONTINENCE"" ", 1)BOEHRINGER INGELHEIM PHARMA GMBH & CO. KG.  ,"BINGER STRASSE 173, D-55216 INGELHEIM AM RHEIN, GERMANY ", 1)PASCALE POUZET 2)FRANZ ESSER 3)HISATO KITAGAWA 4)NAOKI ISHIGURO  5)IKUNOBU MURAMATSU ,"The present invention relates to medicaments containing 2-amino-l-(4-hydroxy-2-methanesulphonamidophenyl)ethanol, one of the two optical isomers thereof and/or the pharmacologically acceptable salts thereof, particularly for treating urinary incontinence.  ",3
1434/DELNP/2003 A ,09/09/2003,01/01/2010,"""A STABLE PHARMACEUTICAL FORMULATION COMPRISING TORSEMIDE MODIFICATION II"" "," 1)TEVA PHARMACEUTICAL INDUSTRIES, LTD  ","5 BASEL STREET, P.O.BOX 3190, PETAH TIQVA 49131, ISRAEL ", 1)MINUTZA LEIBOVICI 2)RUTH TENENGAUZER 3)MIRA KOPEL 4)JUDITH ARONHIME 5)MARCO KORDOVA ,"A stable pharmaceutical formulation comprising an effective amount of high purity torsemide modification II and a pharmaceutically acceptable carrier, wherein the effective amount is an amount of torsemide modification II that would yield a dosage of about 2 to about 200 mg torsemide per day, wherein the formulation comprises 2.5-25 % by weight of the high purity torsemide modification II, wherein the high purity torsemide modification II contains less than 0.5% by weight of torsemide modification I, and the high purity torsemide modification II does not substantially rearrange into torsemide modification I upon storage at 40ø C and 75% relative humidity for at least 3 months.  ",23
1464/DELNP/2003 A ,12/09/2003,01/01/2010,"""CANS FOR CARBONATED AND NON-CARBONATED BEVERAGES, CLOSURE SYSTEMS FOR THEM AND METHOD TO OPEN THE CANS"" ", 1)FIORENTINI GRAZIELLA  ,"VIA DELLE FORNACI, 131, I-00165 ROME, ITALY ", 1)FIORENTINI GRAZIELLA ,"A can for carbonated and non-carbonated beverages provided with an opening system comprising a tearable tongue (22) defined by a tearing invitation score line in the outer surface of the upper wall of the can and with a tearing device associated to said tearable tongue and aimed at tearing said tearable tongue and at opening the can, characterised in that said tearing device for the tearable tongue (22) is comprised of two tongues superimposed to one another, a first tongue (30) attached to the outer surface of the upper wall of the can, intended to tear said tearable tongue (22) outwardly of said can, and a second tongue (31), attached to said tearable tongue (22), intended to start tearing of said tearable tongue (22) inwardly of the can.  ",15
1491/DEL/2008 A ,23/06/2008,01/01/2010,AN IMPROVED ECO-FRIENDLY PROCESS FOR CURING OF RAW HIDES AND SKINS , 1)COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH  ,"AUSANDHAN BHAWAN, RAFI MARG, NEW DELHI-110001, INDIA. ", 1)SUBRAMANI SARAVANABHAVAN 2)JONNALAGADDA RAGHAVARAO 3)BALACHANDRAN UNNI NAIR ,"The present invention provides a salt free curing process for raw hides/skins. The curing process recited herein involves bio-macromolecules. Unlike the conventional salt based curing methods, this process does not add to the load of total dissolved solids (TDS) in the tannery waste water. The cured hides/skins can be stored upto 120 days.  ",11
1494/DEL/2008 A ,23/06/2008,01/01/2010,"""PATH MAXIMUM TRANSMISSION UNIT DETERMINATION"" ", 1)DELL PRODUCT L.P.  ,"ONE DELL WAY, ROUND ROCK, TEXAS 78682-2244 USA. ", 1)WINTER ROBERT L. 2)SUBRAMANIAM NARAYANAN ,Disclosed are techniques for determining a path maximum transmission unit (MTU) of a communication path connecting two or more nodes of a network. A node initiates a connection with a remote node by repeatedly transmitting increasingly-larger path MTU discovery messages until the size of a path MTU discovery message exceeds the link MTU of a link within the communication path. This results in the generation and transmission of an MTU error message back to the initiating node. The edge router linked to the initiating node generates a MTU change message in response to receiving the MTU error message and multicasts the MTU change message to all local nodes to which it is linked. The MTU change message directs the receiving nodes to update their destination caches to reflect the path MTU discovered through the use of the increasing-size path MTU discovery messages and the resulting MTU error message.  ,32
1151/DELNP/2004 A ,29/04/2004,01/01/2010,"""QUINAZOLINE DERIVATIVES FOR THE TREATMENT OF ABNORMAL CELL GROWTH"" ", 1)PFIZER PRODUCTS INC.  ,"EASTERN POINT ROAD, GROTON, CONNECTICUT 06340, U.S.A ", 1)JOHN CHARLES KATH 2)JAMES DALE MOYER 3)RICHARD DAMIAN CONNELL ,"This invention relates to quinazoline derivatives that are usefulin the treatment of abnormal cell growth, such as cancer, in mammals. This invention also relates to a method of using such small molecules in the treatment of abnormal cell growth in mammals, especially humans, and to pharmaceutical compositions containing such compounds. The invention further relates to small molecules that are selective for erbB2 receptor over the erbB1 receptor, wherein said erbB2 inhibitor has a range of selectivities for erbB2 over erbB1 between 50-1500.  ",39
1277/DEL/2008 A ,26/05/2008,01/01/2010,"""ELECTRICAL POWER CONVERTER WITH TRAPEZOIDAL OUTPUT WAVEFORM"" ", 1)LUMINOUS POWER TECHNOLOGIES PVT. LTD  ,"C 8&9 COMMUNITY CENTRE, JANAKPURI NEW DELHI-110058, INDIA. ", 1)DR. PRATIK MUKHERJEE ,"The present invention relates to an Electric Power Converter (EPC) comprising a DC power source, a Converter, a Clamp switch, a Bulk Capacitor, a Bus, an Inverter and a Feed Back Circuit wherein the Converter receives power from the DC power source and generates a substantially trapezoidal DC output waveform; Inverter receives the trapezoidal DC output waveform from the Converter and converts the a trapezoidal DC output waveform into a trapezoidal AC output waveform; and Clamp Switch is connected in series with the bulk capacitor such that the Bulk Capacitor discharges through the Clamp switch to the Bus.  ",24
1506/DELNP/2003 A ,19/09/2003,01/01/2010,"""METHOD FOR PROTECTING CELLS AND TISSUES FORM IONIZING RADIATION TOXICITY WITH a,B UNSATURATED ARYL SULFONES"" ", 1)TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION  ,"BOARD STREET AND MONTGOMERY AVENUE, PHILADELPHIA, PA 19122, U.S.A.  2)ONCONOVA THERAPEUTICS, INC., ", 1)ERAGAMREDDY PREMKUMAR REDDY 2)MOOLE VENKATA RAMANA REDDY 3)STEPHEN CESARE COSENZA 4)LAWRENCE HELSON ,"Pre-treatment with a, unsaturated aryl sulfones protects normal cells from the toxic side effects of ionizing radiation. Administration of a radioprotective a, unsaturated aryl sulfone compound to a patient prior to anticancer radiotherapy reduces the cytotoxic side effects of the radiation on normal cells. The radioprotective effect of the a, unsaturated aryl sulfone allows the clinician to safely increase the dosage of anticancer radiation. In some instances, amelioration of toxicity following inadvertent radiation exposure may be initiated with administration of a unsatured arylsulfone.  ",78
2936/DELNP/2009 A ,04/05/2009,01/01/2010,ALLYLIC POLYSULFANES , 1)ECOSPRAY LIMITED  ,Grange Farm Cockley Cley Road Hillborough Thetford Norfolk IP26 5BT (GB) U.K. , 1)BLOCK ERIC 2)GROOM MURREE ,"Diallylic polysulfides (polysulfanes) are provided with sulfur chain lengths of 9 to 22. Also provided are bis(2-methyl-2-propenyl) polysulfides with sulfur chain lengths of 3 to 22. Also provided are 2-substituted bis(2-propenyl) polysulfides with sulfur chain lengths of 3 to 20. Also provided are the 2-cycloalken-1-yl polysulfides, 2-cyclohexen-1-yl polysulfides and 2-cyclopenten-1-yl polysulfides, with sulfur chain lengths of 3 to 20. Also provided are processes for extending the sulfur chain length of diallylic polysulfides and 2-substituted analogues thereof and allyl methyl polysulfides by bringing such compounds into contact with elemental sulfur and heating, or by mixing with molten sulfur.  ",40
2937/DELNP/2009 A ,04/05/2009,01/01/2010,GARLIC PROCESSING , 1)ECOSPRAY LIMITED  ,Grange Farm Cockley Cley Road Hillborough Thetford Norfolk IP26 5BT (GB) U.K. , 1)BLOCK ERIC 2)GROOM MURREE ,"A method of producing polysulfides comprising the step of adding elemental sulphur to an allicin-containing plant extract. In preferred embodiments, the plant extract is mechanically treated members of the genus Allium, especially garlic. In further preferred aspects of the invention, the plant extract and sulphur mixture is heated, and the pH is controlled to allow manipulation of the polysulfide chain length. The addition of organic bases, containing nitrogen lone pairs, allows further control of polysulfide chain length.  ",18
1037/DELNP/2003 A ,04/07/2003,01/01/2010,"""FORESTATION AND ENVIRONMENT PROTECTING METHOD AND SYSTEM"" "," 1)CHIU, CHUI-WEN  ","9 NORDIC PLACE, NORTH YORK, TORONTO, ONTARIO M3A 2H8 CANADA "," 1)CHIU, CHUI-WEN ","Plastic bags are continuously formed and filled with sand, soil and gravel to fabricate flexible soft bricks (18) of various shapes and configurations which may be laid on the ground to stabilize sand for growing vegetation or to prevent soil depletion due to water erosion or to grow vegetation in them. Protective housings (45) made of plastic membrane material may be erected in dry or desert regions for growing trees and vegetation. The lower portion of the housing may be located below ground into a trench. Self operating knives (70, 101, 105) are located in the housing to sever the plastic membrane material when the tree grown in the housing has reached a predetermined maturity. Tree planting bullets are provided to facilitate forestation by airplane to land inarcessible regions. The tree seedling is located in supported in an embryonic sack located in a depression formed in ihe rear portion of the bullet head.  ",62
1263/DELNP/2004 A ,11/05/2004,01/01/2010,"""TOOTH-CLEANING PAPER COMBINED WITH DENTAL FLOSS"" "," 1)LEE, JONG-SOO  ","25-206 BANPO-JUGONG APT., 1020 ANPO-BONDONG, SEOCHO-GU, SEOUL 137-811, REPUBLIC OF KOREA.  2)KTNC CO., "," 1)LEE, JONG-SOO ","Disclosed is a tooth-cleaning paper combined with a dental floss, characterized by combining the dental floss functioning to remove interdental debris to the tooth-cleaning paper for use in scrubbing food debris stuck onto the teeth. Thereby, food debris stuck onto or held between the teeth is easily removed while the mouth is hidden with the cleaning paper, thus not giving other persons an unpleasant feeling. Further, the dental floss which conventionally suffers from difficult storage and excessive use due to slipping thereof is easily and economically used in state combined to the cleaning paper.  ",9
1300/DELNP/2004 A ,14/05/2004,01/01/2010,"""MIDDLE DISTILLATE SELECTIVE HYDROCRACKING PROCESS"" ", 1)UOP LLC  ,"25 EAST ALGONQUIN ROAD, DES PLAINES, ILLINOIS 60017-5017, USA. "," 1)BAUER, LORENZ, J. ","Increased yields of middle distillate products are obtained in a hydrocracking process by the use of a catalyst containing a Beta zeolite which has been hydrothermally treated to adjust the distribution of relatively weak and strong acid sites. The number of strong acid sites is reduced, preferably by steaming at a temperature above 750øC (1382øF) for at least one hour, with the acidity distribution being measured by pyridine IR adsorption values taken at 150øC (302øF), and 450øC (842øF).  ",30
1496/DELNP/2003 A ,19/09/2003,01/01/2010,"""TOPOISOMERASE I SELECTIVE CYTOTOXIC SUGAR DERIVATIVES OF INDOLOPYRROLOCARBAZOLES"" ", 1)BRISTOL-MYERS SQUIBB COMPANY  ,"P.O.BOX 4000, LAWRENCEVILLE-PRINCETON, ROAD, PRINCETON, NEW JERSEY 08543-4000, U.S.A ", 1)EDWARD H. RUEDIGER 2)MARK G. SAULNIER 3)FRANCIS BEAULIEU 4)CAROL BACHAND 5)NEELAKANTAN BALUSUBRAMANIAN 6)BYRON HEPLER LONG 7)DAVID B. FRENNESSON 8)KURT ZIMMERMAN 9)NARASIMHULU B. NAIDU 10)KAREN STOFFAN  11)DENIS ROBERT ST. LAURENT ,"The present invention relates to fluoro sugar and other sugar derivatives of indolopyrrolocarbazoles, their salts and hydrates, which exhibit selective topoisomerase I (topo I) activity, are useful in inhibiting the proliferation of tumor cells and exhibit an antitumor effect, as well as processes for their preparation.  ",59
174/DELNP/2003 A ,17/02/2003,01/01/2010,"""A METHOD AND SYSTEM OF REVISION FOR 3-DIMENSIONAL IMAGE"" ", 1)GEORAE LTD.  ,"1366-4 DAL-DONG, NAM-GU, ULSAN 680-030, REPUBLIC OF KOREA "," 1)YOUN, BYOUNG-YI ","In a method and system of correcting deformation of a 3-D image, display of different sense of distance as a photographing ratio of the left and right cameras (11 and 12) to the object (60) changes according to the movement of the object or magnification and reduction photographing of the object by the cameras, and display of a 3-D image partially deformed as the distance between the left and right eyes (51 and 52) of a viewer changes, are corrected by the magnification and reduction control of the left and right images by the left and right image magnifying and reducing apparatus (21 and 22) and the movement of the left and right images (41 and 42). Thus, an actual shape of the object is displayed so that the quality of a 3-D image is improved.  ",29
1179/DELNP/2004 A ,05/05/2004,01/01/2010,"""METHOD AND COMPOSITION FOR IMPROVING FUEL COMBUSTION"" "," 1)CARROLL, ROBERT, W.  ","158 SAWPIT LANE, BRADBURY, CA 91010, U.S.A. 2)CARROL, NOEL 3)CARROL, WILLIAM F. 4)CARROLL, MICHAEL "," 1)CARROLL, ROBERT, W. 2)CARROLL, NOEL 3)CARROLL, WILLIAM, F. 4)CARROLL, MICHAEL ","A method of improving the combustion of a fuel by adding a catalyst or combustion enhancer at an extremely low concentration, preferably in the range of 1 part catalyst per 200 million parts fuel to 1 part catalyst per 6 trillion parts fuel. The catalyst or combustion enhancer may be selected from a wide range of soluble compounds. The method may comprise the steps of an initial mixing of the catalyst or enhancer with a suitable solvent and then subsequent dilution steps using solvents or fuel. Suitable solvents include water, MTBE, methylketone, methyisobutylketone, butanol, isopropyl alcohol and other hydrophilic/oleophilic compounds.  ",27
2928/DELNP/2009 A ,01/05/2009,01/01/2010,"""METHOD FOR LIQUEFACTION OF GAS"" ", 1)SINVENT AS  ,"N - 7465 TRONDHEIM, NORWAY. "," 1)BRENDENG, EINAR 2)NEKSA, PETTER ","The present invention relates to a process plant and method for cooling and optionally liquefaction of a product gas, particularly for liquefaction of natural gas, based on a closed loop of multi-component refrigerant in heat exchange with the gas to be cooled and optionally condensed. The process plant is comprises at least one primary heat exchanger (20) arranged to cool the product gas directed to the heat exchanger (10), at least one compressor (46) arranged to compress the low level refrigerant directed from the first of the at least two secondary heat exchangers (64), at least one pre-cooling heat exchanger (54) to sub-cool and partly liquefy the compressed refrigerant, at least one phase-separator (60) arranged to separate the partly liquefied multi-component refrigerant into a more volatile fraction and a less volatile fraction, at least two secondary heat exchangers (64, 114), the first of the at least two secondary heat exchangers (64) arranged to cool the more volatile fraction from the phase-separator (62), and the second of the at least two secondary heat exchangers (114) arranged to cool further the more volatile fraction, a throttling device (118) arranged to reduce the pressure of a part of the more volatile fraction to become the low level refrigerant to be heat exchanged in the second of at least two secondary heat exchangers, a throttling device (76) arranged to reduce the pressure of a part of the more volatile fraction to become the low level refrigerant to be heat exchanged in the at least one primary heat exchanger (20), a throttling device (102) arranged to reducing the pressure of the less volatile fraction from the at least one phase-separator (60) to become part of the low level refrigerant, for mixing with the low level refrigerant from the at least one primary heat exchanger (20), and the low level refrigerant from the second of at least two secondary heat exchangers (114) this directed to heat exchange through the first of at the least two secondary heat exchangers (64).  ",22
2982/DELNP/2009 A ,05/05/2009,01/01/2010,"""MULTI-LAYER TUBES OR CONDUITS AND MANUFACTURING METHODS THEREFOR"" ", 1)NOEL GROUP LLC  ,"400 VINTAGE PARK DRIVE, ZEBULON, NORTH CAROLINA 27597, U.S.A ", 1)FRANCIS JAMES DUM 2)EDUARDO LAUER 3)NICHOLAS JAMES CHWALEK ,"This invention relates to foamed products and methods for manufacture and, more particularly, to foamed products manufactured by continuous formation in a substantially cylindrical configuration and comprising a plurality of layers and/or a plurality of components.  ",47
2983/DELNP/2009 A ,05/05/2009,01/01/2010,"""RUBBER COMPOSITION FOR TYRES INCORPORATING A NOVEL ANTIOXIDANT SYSTEM"" ", 1)SOCIETE DE TECHNOLOGIE MICHELIN  ,"23 RUE BRESCHET, F-63000, CLERMONT-FERRAND, FRANCE  2)MICHELIN RECHERCHE ET TECHNIQUE S.A ", 1)JOSE CARLOS ARAUJO DA SILVA  2)PIERRE-ANTOINE NIORE 3)ARNAUD REMY ,"Rubber composition in particular for tyres, based on at least one diene elastomer, one reinforcing filler, one crosslinking system and one antioxidant system, characterized in that said antioxidant system comprises at least two antioxidants ""A"" and ""B""A. an N-alkyl-N""-phenyl-para-phenylenediamine corresponding to formula (I)B. a 4,4""-bis(alkylamino)triphenylamine corresponding to formula (II)in which formulae, R1, R2 and R3, which may be identical or different, are each a linear or branched alkyl group containing from 1 to 12 carbon atoms or a cycloalkyl group containing from 5 to 8 carbon atoms, wherein the A/B weight ratio is between 0.2 and 5.0. Such an antioxidant system confers on the composition of the invention better long-term resistance to fatigue and to the propagation of cracks.  ",45
